title,id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,post_type_id,score,tags,view_count
Json_format.parse() function throws error 'utf-8' codec can't decode byte 0xa1 in position 11: invalid start byte,50805054,Json_format.parse() function throws error 'utf-8' codec can't decode byte 0xa1 in position 11: invalid start byte,"<p>I am trying to perform OCR on PDF files using google cloud vision, to do some basic testing i am using the sample code provided in google documentation in the below link, but the line of code provided below is throwing unicode decode error given below, can anyone please help me fix this, i did an extensive search and tried different approaches but i am unable to fix it.</p>

<pre><code>response = json_format.Parse(json_string, vision.types.AnnotateFileResponse())
</code></pre>

<p><a href=""https://cloud.google.com/vision/docs/pdf"" rel=""nofollow noreferrer"">https://cloud.google.com/vision/docs/pdf</a></p>

<p>Error: UnicodeDecodeError: 'utf-8' codec can't decode byte 0xa1 in position 11: invalid start byte</p>",,0,2,,2018-06-11 19:49:46.200 UTC,,2018-06-11 19:49:46.200 UTC,,,,,5326115,1,1,python|google-cloud-platform,83
How to prevent inappropriate content from uploading to AWS with Rails?,54876804,How to prevent inappropriate content from uploading to AWS with Rails?,"<p>I have a Rails 5 app that allows users to upload images to their profiles using the new ActiveStorage with AWS S3 Storage process. </p>

<p>I've been searching for a way to detect inappropriate content / explicit images in the uploads so I could prevent the user from displaying those on their accounts, but I'm not sure how I could accomplish this.</p>

<p>I don't want to have to moderate the content uploads. I know there are ways to allow users to ""flag as inappropriate"". I would prefer to not allow explicit content to be uploaded at all.</p>

<p>I figure the best solution would be for the Rails app to detect the explicit content and put in a placeholder image instead of the user's inappropriate image.</p>

<p>One idea was AWS Rekognition. Has anybody successfully implemented a solution for this problem?</p>",,2,0,,2019-02-26 00:30:52.140 UTC,,2019-03-27 10:01:15.317 UTC,2019-02-27 18:09:36.920 UTC,,5113026,,5113026,1,0,ruby-on-rails|amazon-s3|paperclip|image-recognition|rails-activestorage,39
Detecting content in Google Cloud Vision for .NET does nothing/hangs app,48999636,Detecting content in Google Cloud Vision for .NET does nothing/hangs app,"<p>I just started playing around with Google Cloud Vision a bit. I wanted to detect text in an image. Inspired by the official docs (e.g. <a href=""https://cloud.google.com/vision/docs/detecting-text"" rel=""nofollow noreferrer"">https://cloud.google.com/vision/docs/detecting-text</a> and <a href=""https://cloud.google.com/docs/authentication/production"" rel=""nofollow noreferrer"">https://cloud.google.com/docs/authentication/production</a>) I</p>

<ul>
<li>created a new project,</li>
<li>attached the Vision API to it,</li>
<li>created a service account and downloaded the credentials/key-JSON file,</li>
<li>set up an VS project and got all relevant packages from NuGET.</li>
</ul>

<p>My code looks like this:</p>

<pre><code>using System;
using System.Windows;
using Google.Apis.Auth.OAuth2;
using Google.Cloud.Vision.V1;
using Grpc.Auth;

//...

private void Button_Click(object sender, RoutedEventArgs e)
{
    // Load an image from a local file.
    var image = Image.FromFile(@""C:\!\myimage.png"");
    var credential = GoogleCredential.FromFile(@""C:\!\credentials.json"");

    var channel = new Grpc.Core.Channel(@""https://vision.googleapis.com/v1/images:annotate"",credential.ToChannelCredentials());

    var client = ImageAnnotatorClient.Create(channel);

    var response = client.DetectText(image); // &lt;-- Nothing happens, app hangs, why?
    foreach (var annotation in response)
    {
        if (annotation.Description != null)
            Console.WriteLine(annotation.Description);
    }
}

//...
</code></pre>

<p>While stepping through the code, the app hangs at <code>var response = client.DetectText(image);</code> (no exception or anything). The same happens, if I use other methods (e.g. <code>DetectLogos(image)</code> or <code>DetectLabels(image)</code>). When checking CPU usage and network traffic nothing important happens (before or after the relevant line of code).</p>

<p>What am I doing wrong here?</p>

<p>Thanks!</p>",49137894,3,0,,2018-02-27 01:11:23.643 UTC,,2019-01-07 21:57:31.760 UTC,2018-03-06 20:50:48.433 UTC,,9446581,,3552711,1,0,c#|.net|grpc|google-cloud-vision,773
Increase confidence score of handwritten text detected using google vision api,56250899,Increase confidence score of handwritten text detected using google vision api,"<p>I have to process a bunch of digital scanned documents which contain information as a form(mostly insurance, legal stuff). They are 90% printed text and 10% handwritten.
I used Google Vision API to extract information from them. It gave accurate results for printed texts with high confidence but handwritten parts were not always detected correctly.</p>

<p>So, is there any way to increase confidence of handwritten parts or can I customize API to do this?</p>",,1,0,,2019-05-22 06:51:39.890 UTC,,2019-05-22 08:28:15.233 UTC,2019-05-22 06:55:40.923 UTC,,6622587,,11189391,1,0,python|python-3.x|google-cloud-platform|google-vision,31
Generate barcode or qrcode using google vision api,41400421,Generate barcode or qrcode using google vision api,"<p>I am using google vision API to scan the barcodes and qrcodes. Now I want to give one more facility to the users that user can generate text, url, phone, vcard etc barcodes/qrcodes.</p>

<p>So anybody knows how to achieve this? Because there are lots of app on google play store those are doing the same things.</p>",41400491,1,1,,2016-12-30 17:46:56.187 UTC,3,2016-12-30 18:06:14.453 UTC,,,,,792480,1,2,android|google-play-services|google-vision,3462
Google Cloud Vision API - Error creating Grpc.Core.Channel,52414541,Google Cloud Vision API - Error creating Grpc.Core.Channel,"<p>I am trying to use Google Cloud Vision V1 Api's ImageAnnotatorClient class. I am following the example at <a href=""https://googleapis.github.io/google-cloud-dotnet/docs/Google.Cloud.Vision.V1/api/Google.Cloud.Vision.V1.ImageAnnotatorClient.html"" rel=""nofollow noreferrer"">https://googleapis.github.io/google-cloud-dotnet/docs/Google.Cloud.Vision.V1/api/Google.Cloud.Vision.V1.ImageAnnotatorClient.html</a> under the </p>

<blockquote>
  <p>Create(ServiceEndpoint, ImageAnnotatorSettings)</p>
</blockquote>

<p>header. I am using C# and trying to build a classic console application. I am using GRPC.Core version 1.15.0, and Google.Cloud.Vision.V1 version 1.2.0 from Nuget. I get a compile error </p>

<blockquote>
  <p>'GoogleCredential' does not contain a definition for
  'ToChannelCredentials' and no extension method 'ToChannelCredentials'
  accepting a first argument of type 'GoogleCredential' could be found</p>
</blockquote>

<p>The below is my code:</p>

<pre><code>GoogleCredential credential = GoogleCredential
    .FromFile(@""C:\Users\...\12345.json"")
    .CreateScoped(ImageAnnotatorClient.DefaultScopes);
            Google.Cloud.Vision.V1.Image image1 = Google.Cloud.Vision.V1.Image.FromFile(@""c:\Users\....\Image14b.png"");

            Channel channel = new Channel(
    ImageAnnotatorClient.DefaultEndpoint.Host, ImageAnnotatorClient.DefaultEndpoint.Port, credential.ToChannelCredentials());
            ImageAnnotatorClient client = ImageAnnotatorClient.Create(channel);

            IReadOnlyList&lt;EntityAnnotation&gt; textAnnotations = client.DetectText(image1);
</code></pre>

<p>I get error at the line below:</p>

<pre><code>        Channel channel = new Channel(
ImageAnnotatorClient.DefaultEndpoint.Host, ImageAnnotatorClient.DefaultEndpoint.Port, credential.ToChannelCredentials());
</code></pre>

<p>Any hints please?</p>",,1,0,,2018-09-19 21:39:00.280 UTC,,2018-09-27 08:19:20.007 UTC,,,,,1200114,1,0,c#|google-cloud-platform|google-cloud-vision|google-client,146
Alternate way to set credentials for GOOGLE_APPLICATION_CREDENTIALS,52925404,Alternate way to set credentials for GOOGLE_APPLICATION_CREDENTIALS,"<p>I've a Go app that uses the <em>Google Vision API</em> and <em>Google Video intelligence</em> API.
To enter my credentials, I set the environment variable called <code>GOOGLE_APPLICATION_CREDENTIALS</code>. To do so, I assign a file path to this variable that points to the directory where my credentials are stored in.</p>

<p><em>Problem:</em></p>

<p>My credentials are <em>not</em> initially saved in a file. Instead they are assigned to a  string variable inside my app.
As a workaround, I store that value to a temporary file and then assign it's path to <code>GOOGLE_APPLICATION_CREDENTIALS</code>, like described above.</p>

<p><em>Question:</em></p>

<p>Is it possible to set API credentials for <code>cloud.google.com/go/vision/apiv1</code> without this file?</p>",,1,0,,2018-10-22 08:45:14.953 UTC,,2018-10-22 13:17:16.137 UTC,2018-10-22 13:17:16.137 UTC,,9818506,,629960,1,0,go|google-vision,76
Is it possible to select particular text using Google's vision API?,49340214,Is it possible to select particular text using Google's vision API?,"<p>I am designing an app where i scan the text using the camera and use that text to fetch more details. To do that i am using Google's vision API. But by default the API reads all the text that is available on the image as shown below. </p>

<p><a href=""https://i.stack.imgur.com/OCw3q.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OCw3q.jpg"" alt=""enter image description here""></a></p>

<p>As you can see from the above image the app is recognizing all the text that is available in front of the camera. But i would like to just scan <strong>""Hello World""</strong> from the camera. Is it possible to use some kind of touch event just to focus on the desired text</p>

<p>Please find the code used for text recognition</p>

<pre><code>    private void startCameraSource() {
//Create the TextRecognizer
final TextRecognizer textRecognizer = new TextRecognizer.Builder(getApplicationContext()).build();

    if (!textRecognizer.isOperational()) {
    Log.w(TAG, ""Detector dependencies not loaded yet"");
} else {

    //Initialize camerasource to use high resolution and set Autofocus on.
    mCameraSource = new CameraSource.Builder(getApplicationContext(), textRecognizer)
            .setFacing(CameraSource.CAMERA_FACING_BACK)
            .setRequestedPreviewSize(1280, 1024)
            .setAutoFocusEnabled(true)
            .setRequestedFps(2.0f)
            .build();

    /**
     * Add call back to SurfaceView and check if camera permission is granted.
     * If permission is granted we can start our cameraSource and pass it to surfaceView
     */
    mCameraView.getHolder().addCallback(new SurfaceHolder.Callback() {
        @Override
        public void surfaceCreated(SurfaceHolder holder) {
            try {

                if (ActivityCompat.checkSelfPermission(getApplicationContext(),
                        Manifest.permission.CAMERA) != PackageManager.PERMISSION_GRANTED) {

                    ActivityCompat.requestPermissions(MainActivity.this,
                            new String[]{Manifest.permission.CAMERA},
                            requestPermissionID);
                    return;
                }
                mCameraSource.start(mCameraView.getHolder());
            } catch (IOException e) {
                e.printStackTrace();
            }
        }

        @Override
        public void surfaceChanged(SurfaceHolder holder, int format, int width, int height) {
        }

        @Override
        public void surfaceDestroyed(SurfaceHolder holder) {
            mCameraSource.stop();
        }
    });

    //Set the TextRecognizer's Processor.
    textRecognizer.setProcessor(new Detector.Processor&lt;TextBlock&gt;() {
        @Override
        public void release() {
        }

        /**
         * Detect all the text from camera using TextBlock and the values into a stringBuilder
         * which will then be set to the textView.
         * */
        @Override
        public void receiveDetections(Detector.Detections&lt;TextBlock&gt; detections) {
            final SparseArray&lt;TextBlock&gt; items = detections.getDetectedItems();
            if (items.size() != 0 ){

                mTextView.post(new Runnable() {
                    @Override
                    public void run() {
                        StringBuilder stringBuilder = new StringBuilder();
                        for(int i=0;i&lt;items.size();i++){
                            TextBlock item = items.valueAt(i);
                            stringBuilder.append(item.getValue());
                            stringBuilder.append(""\n"");
                        }
                        mTextView.setText(stringBuilder.toString());
                    }
                });
            }
        }
    });
}
}
</code></pre>",,0,2,,2018-03-17 18:05:45.147 UTC,,2018-03-17 18:05:45.147 UTC,,,,,4729925,1,0,android|google-vision|text-recognition,215
How to refer a local file for Azure emotion api,43425391,How to refer a local file for Azure emotion api,"<p>I am trying to refer a local jpg file for using in Azure Emotion API.
To do this, I refer my file through ""file:///"" like below. </p>

<pre><code>body = ""{'url': 'file:///Users/jonghkim/dev_jhk/Research/Crowdfunding/Face_Analysis/me.jpg'}""
</code></pre>

<p>But the response says ""Invalid image URL."" How could I fix it?</p>

<p>{""error"":{""code"":""InvalidUrl"",""message"":""Invalid image URL.""}}</p>

<p>Whole code looks like below.</p>

<pre><code>########### Python 2.7 #############
import httplib, urllib, base64

headers = {
    # Request headers. Replace the placeholder key below with your subscription key.
    'Content-Type': 'application/json',
    'Ocp-Apim-Subscription-Key': '***********************',
}

params = urllib.urlencode({
})

# Replace the example URL below with the URL of the image you want to analyze.
body = ""{'url': 'file:///Users/jonghkim/dev_jhk/Research/Crowdfunding/Face_Analysis/me.jpg'}""

try:
    conn = httplib.HTTPSConnection('westus.api.cognitive.microsoft.com')
    conn.request(""POST"", ""/emotion/v1.0/recognize?%s"" % params, body, headers)
    response = conn.getresponse()
    data = response.read()
    print(data)
    conn.close()
except Exception as e:
    print(""[Errno {0}] {1}"".format(e.errno, e.strerror))
</code></pre>",43426556,2,0,,2017-04-15 11:17:29.497 UTC,,2017-06-29 12:47:46.937 UTC,2017-04-15 12:22:00.983 UTC,,272109,,3001616,1,0,python|azure,259
"aws: error: argument command: Invalid choice, valid choices are: this is the error showing with some number of commands",47430886,"aws: error: argument command: Invalid choice, valid choices are: this is the error showing with some number of commands","<pre><code>aws rekognition index-faces \
--image '{""S3Object"":{""Bucket"":""mybucketname"",""Name"":""S3ObjectKey""}}' \
--collection-id ""image1"" \
--region us-east-1 \
--profile adminuser
</code></pre>

<p>That is my code which I'm running on terminal, I tried but don't know why is that error coming. What changes should I do??</p>",,1,2,,2017-11-22 09:22:18.473 UTC,,2018-02-17 17:28:22.793 UTC,2017-11-23 22:35:41.577 UTC,,1695906,,8315773,1,1,amazon-web-services|amazon-s3,1573
